Sport,Year,Rank,Team,5-Star,4-Star,3-Star,Total Commits,Avg Rating,Avg NIL,Score
Basketball,2023,195,Gardner-Webb,0,0,0,1,80,-,76.23
Basketball,2023,196,Fresno State,0,0,0,1,80,-,76.23
Basketball,2023,197,Grand Canyon,0,0,0,1,80,$10.3K,76.23
Basketball,2023,198,UT Arlington,0,0,0,1,80,-,76.23
Basketball,2023,199,Bradley,0,0,0,1,80,-,76.23
Basketball,2023,200,Cal Poly,0,0,0,1,80,-,76.23
Basketball,2023,201,Buffalo,0,0,0,1,80,-,76.23
Basketball,2023,202,Brown,0,0,0,1,80,-,76.23
Basketball,2023,203,East Texas A&M,0,0,0,1,80,-,76.23
Basketball,2023,204,UTRGV,0,0,0,1,80,-,76.23
Basketball,2023,205,Charlotte,0,0,0,1,80,-,76.23
Basketball,2023,206,UC Riverside,0,0,0,1,80,-,76.23
Basketball,2022,1,Duke,3,3,1,7,96.6,$94K,99.039
Basketball,2022,2,Kentucky,2,2,1,5,95.84,$21K,97.894
Basketball,2022,3,Arkansas,2,2,2,6,95.02,$15.6K,97.299
Basketball,2022,4,Kansas,1,3,0,4,97.09,$222K,97.085
Basketball,2022,5,Alabama,1,4,0,6,92.92,$217K,96.397
Basketball,2022,6,Villanova,1,2,0,3,96.02,-,95.42
Basketball,2022,7,Tennessee,1,3,1,5,92.42,$27K,95.211
Basketball,2022,8,USC,0,3,1,4,94.84,$15.5K,94.84
Basketball,2022,9,Ohio State,0,4,1,5,92.15,$182K,94.74
Basketball,2022,10,Michigan,0,4,0,5,91.71,$125K,94.633
Basketball,2022,11,Auburn,0,3,0,3,95.15,$16.1K,94.556
Basketball,2022,12,Illinois,0,4,0,5,91.54,$41K,94.424
Basketball,2022,13,Virginia,0,4,0,4,94.12,$15.2K,94.119
Basketball,2022,14,North Carolina,0,3,0,3,94.56,$23K,93.965
Basketball,2022,15,Notre Dame,1,2,0,3,94.53,$11.6K,93.935
Basketball,2022,16,Indiana,0,3,1,4,93.79,$47K,93.791
Basketball,2022,17,Texas,2,1,1,4,93.67,$27K,93.67
Basketball,2022,18,UCLA,2,1,0,4,93.1,$25K,93.101
Basketball,2022,19,Syracuse,0,3,3,6,89.57,$145K,92.791
Basketball,2022,20,Houston,1,1,1,3,92.68,$10K,92.084
Basketball,2022,21,Baylor,1,0,1,2,94.58,-,91.97
Basketball,2022,22,Xavier,0,2,0,2,94.21,$13.6K,91.596
Basketball,2022,23,Texas Tech,0,3,1,4,91.51,$25K,91.509
Basketball,2022,24,LSU,0,3,1,4,90.97,$36K,90.972
Basketball,2022,25,Vanderbilt,0,3,2,5,89.38,$16.2K,90.498
Basketball,2022,26,Ole Miss,0,2,2,4,90.43,$14K,90.428
Basketball,2022,27,Florida State,0,2,4,6,88.02,$27K,90.206
Basketball,2022,28,Virginia Tech,0,1,3,4,89.5,$129K,89.502
Basketball,2022,29,Florida,0,1,1,2,91.98,$806K,89.37
Basketball,2022,30,Miami,0,2,2,4,89.36,$12K,89.357
Basketball,2022,31,Cincinnati,0,1,2,3,89.54,$20K,88.938
Basketball,2022,32,VCU,0,2,0,2,91.4,$9.2K,88.784
Basketball,2022,33,Michigan State,0,2,0,3,89.36,$58K,88.763
Basketball,2022,34,Stanford,0,2,0,2,91.28,$10.9K,88.665
Basketball,2022,35,Penn State,0,1,4,5,87.47,$13.1K,88.514
Basketball,2022,36,South Carolina,1,0,2,3,89,$16.3K,88.404
Basketball,2022,37,Creighton,0,0,3,3,88.55,$9.4K,87.951
Basketball,2022,38,Arizona,0,2,0,4,87.58,$153K,87.584
Basketball,2022,39,Boston College,0,2,2,4,87.54,$11.3K,87.544
Basketball,2022,40,Iowa State,0,0,3,3,87.9,$197K,87.301
Basketball,2022,41,NC State,0,1,1,3,87.81,$11.6K,87.214
Basketball,2022,42,Louisville,0,2,1,4,87.18,$18.9K,87.178
Basketball,2022,43,Wake Forest,0,0,2,2,89.67,$8.7K,87.059
Basketball,2022,44,Purdue,0,1,2,4,87.05,$446K,87.047
Basketball,2022,45,Dayton,0,1,0,1,93.67,$120K,86.976
Basketball,2022,46,Pittsburgh,0,1,2,4,86.79,$74K,86.79
Basketball,2022,47,Oklahoma,0,2,0,4,86.78,$63K,86.781
Basketball,2022,48,Washington,0,1,2,3,86.81,$23K,86.216
Basketball,2022,49,Providence,0,1,1,2,88.72,$14.5K,86.107
Basketball,2022,50,Arizona State,0,1,1,3,86.52,$12.7K,85.92
Basketball,2022,51,Oregon,1,0,0,3,86.4,$31K,85.8
Basketball,2022,52,Georgetown,0,1,1,2,88.18,$10.3K,85.572
Basketball,2022,53,St. John's,0,1,1,2,88.15,$18K,85.537
Basketball,2022,54,Fresno State,0,1,0,1,92.05,$13.7K,85.357
Basketball,2022,55,Clemson,0,0,4,4,85.31,$42K,85.313
Basketball,2022,56,Iowa,0,0,2,2,87.9,$174K,85.284
Basketball,2022,57,Georgia,0,1,0,1,91.74,-,85.046
Basketball,2022,58,Seton Hall,0,0,3,4,85,$13.7K,84.999
Basketball,2022,59,UCF,0,1,0,2,87.55,$8.9K,84.935
Basketball,2022,60,Missouri,0,1,0,2,87.39,$10.8K,84.774
Basketball,2022,61,Marquette,0,0,2,3,85.18,$27K,84.582
Basketball,2022,62,Minnesota,0,0,4,5,83.59,$9.7K,84.489
Basketball,2022,63,Nebraska,0,1,2,4,84.44,$12.1K,84.437
Basketball,2022,64,DePaul,0,1,0,3,84.6,$12.9K,84.003
Basketball,2022,65,Connecticut,0,1,0,4,83.92,$10.3K,83.917
Basketball,2022,66,San Diego State,0,0,2,3,84.42,$10.7K,83.818
Basketball,2022,67,George Mason,0,0,3,3,84.17,-,83.569
Basketball,2022,68,Washington State,0,1,0,5,82.76,$15K,83.446
Basketball,2022,69,Utah,0,0,2,3,83.93,$5.7K,83.331
Basketball,2022,70,Saint Mary's,0,1,0,3,83.66,$16.4K,83.06
Basketball,2022,71,Colorado,0,0,1,3,83.4,$10.4K,82.803
Basketball,2022,72,Nevada,0,0,1,3,83.36,$16.3K,82.765
Basketball,2022,73,Oregon State,0,0,3,6,81.76,$25K,82.638
Basketball,2022,74,TCU,0,0,1,1,89.26,$1.2M,82.569
Basketball,2022,75,Boise State,0,0,1,2,85.13,$12K,82.513
Basketball,2022,76,West Virginia,0,0,1,5,81.95,$13.9K,82.44
Basketball,2022,77,Tulsa,0,0,3,3,82.92,-,82.328
Basketball,2022,78,Rutgers,0,0,3,3,82.84,-,82.244
Basketball,2022,79,Ohio,0,0,2,4,82.21,$10.7K,82.213
Basketball,2022,80,Pepperdine,0,0,1,5,81.74,$7.6K,82.173
Basketball,2022,81,Oklahoma State,0,0,1,1,88.7,$12.4K,82.011
Basketball,2022,82,Columbia,0,0,2,3,82.5,$801K,81.903
Basketball,2022,83,Mississippi State,0,0,1,2,84.48,$7.3K,81.867
Basketball,2022,84,Gonzaga,0,0,1,2,84.47,-,81.859
Basketball,2022,85,Texas A&M,0,0,1,3,82.31,$19.3K,81.711
Basketball,2022,86,Appalachian State,0,0,1,3,82.12,$13.6K,81.519
Basketball,2022,87,Kansas State,0,0,2,3,82,$11.8K,81.403
Basketball,2022,88,Fordham,0,0,2,3,82,$17.6K,81.403
Basketball,2022,89,East Carolina,0,0,1,5,81.06,$12.1K,81.323
Basketball,2022,90,Northeastern,0,0,1,3,81.83,$726K,81.236
Basketball,2022,91,Eastern Kentucky,0,0,1,3,81.78,$10.9K,81.186
Basketball,2022,92,St. Bonaventure,0,0,1,2,83.79,$7.6K,81.176
Basketball,2022,93,Rice,0,0,1,4,81.13,$7.1K,81.125
Basketball,2022,94,Harvard,0,0,1,2,83.66,-,81.052
Basketball,2022,95,Saint Joseph's,0,0,2,2,83.5,$14.4K,80.888
Basketball,2022,96,Louisiana,0,0,1,4,80.75,$7.4K,80.75
Basketball,2022,97,Maryland,0,0,1,2,83.25,$14.5K,80.638
Basketball,2022,98,Saint Louis,0,0,1,5,80.4,-,80.5
Basketball,2022,99,Northwestern,0,0,1,2,82.9,$66K,80.288
Basketball,2022,100,UT Arlington,0,0,1,4,80.19,$5.3K,80.188
Basketball,2022,101,Alabama State,0,0,1,1,86.85,$12.8K,80.161
Basketball,2022,102,North Carolina A&T,0,0,1,3,80.75,-,80.153
Basketball,2022,103,Princeton,0,0,0,4,80,$830K,80
Basketball,2022,104,Old Dominion,0,0,0,4,80,-,80
Basketball,2022,105,Mercer,0,0,0,4,80,-,80
Basketball,2022,106,San Jose State,0,0,0,4,80,-,80
Basketball,2022,107,FIU,0,0,0,4,80,$14.1K,80
Basketball,2022,108,Massachusetts,0,0,1,2,82.21,$10.3K,79.598
Basketball,2022,109,California,0,0,1,2,82.13,$10K,79.513
Basketball,2022,110,NJIT,0,0,1,1,86.14,$6.7K,79.45
Basketball,2022,111,Air Force,0,0,0,3,80,$7.6K,79.403
Basketball,2022,112,Louisiana Tech,0,0,0,3,80,-,79.403
Basketball,2022,113,Liberty,0,0,0,3,80,$6.4K,79.403
Basketball,2022,114,Miami (OH),0,0,0,3,80,-,79.403
Basketball,2022,115,Middle Tennessee State,0,0,0,3,80,-,79.403
Basketball,2022,116,New Mexico,0,0,0,3,80,$620K,79.403
Basketball,2022,117,VMI,0,0,0,3,80,$6.7K,79.403
Basketball,2022,118,Florida Atlantic,0,0,1,2,81.88,$9.9K,79.263
Basketball,2022,119,Lafayette,0,0,1,2,81.75,$8.3K,79.138
Basketball,2022,120,Marshall,0,0,2,2,81.75,$16.5K,79.138
Basketball,2022,121,UC Santa Barbara,0,0,1,1,85.8,-,79.111
Basketball,2022,122,St. Thomas,0,0,1,2,81.63,$10.4K,79.013
Basketball,2022,123,Northwestern State,0,0,1,2,81.5,$1.2M,78.888
Basketball,2022,124,Georgia Tech,0,0,1,2,81.42,$7.9K,78.813
Basketball,2022,125,Lamar,0,0,2,2,81.38,$8.5K,78.763
Basketball,2022,126,Western Michigan,0,0,1,2,81.13,$9.6K,78.513
Basketball,2022,127,Butler,0,0,1,1,85.17,-,78.486
Basketball,2022,128,Wisconsin,0,0,1,1,85.05,$59K,78.361
Basketball,2022,129,New Orleans,0,0,1,1,85.03,-,78.336
Basketball,2022,130,Northern Arizona,0,0,1,2,80.5,-,77.888
Basketball,2022,131,USF,0,0,1,2,80.5,$12.1K,77.888
Basketball,2022,132,Arkansas State,0,0,0,2,80,-,77.388
Basketball,2022,133,Wofford,0,0,0,2,80,$13.4K,77.388
Basketball,2022,134,Wisconsin-Milwaukee,0,0,0,2,80,-,77.388
Basketball,2022,135,Wright State,0,0,0,2,80,-,77.388
Basketball,2022,136,William & Mary,0,0,0,2,80,-,77.388
Basketball,2022,137,Yale,0,0,0,2,80,-,77.388
Basketball,2022,138,UIC,0,0,0,2,80,$13.6K,77.388
Basketball,2022,139,Hawaii,0,0,0,2,80,-,77.388
Basketball,2022,140,IUPUI,0,0,0,2,80,-,77.388
Basketball,2022,141,Purdue Fort Wayne,0,0,0,2,80,-,77.388
Basketball,2022,142,Northern Illinois,0,0,0,2,80,$13.3K,77.388
Basketball,2022,143,Lehigh,0,0,0,2,80,-,77.388
Basketball,2022,144,Loyola Maryland,0,0,0,2,80,-,77.388
Basketball,2022,145,Kent State,0,0,0,2,80,$9.8K,77.388
Basketball,2022,146,Loyola Chicago,0,0,0,2,80,-,77.388
Basketball,2022,147,Lipscomb,0,0,0,2,80,-,77.388
Basketball,2022,148,Davidson,0,0,0,2,80,$12.8K,77.388
Basketball,2022,149,Delaware,0,0,0,2,80,$9.9K,77.388
Basketball,2022,150,Santa Clara,0,0,0,2,80,$16.7K,77.388
Basketball,2022,151,North Alabama,0,0,0,2,80,-,77.388
Basketball,2022,152,South Alabama,0,0,0,2,80,-,77.388
Basketball,2022,153,Montana,0,0,0,2,80,-,77.388
Basketball,2022,154,Murray State,0,0,0,2,80,$8.1K,77.388
Basketball,2022,155,Missouri State,0,0,0,2,80,-,77.388
Basketball,2022,156,Furman,0,0,0,2,80,-,77.388
Basketball,2022,157,Fairfield,0,0,0,2,80,-,77.388
Basketball,2022,158,Bucknell,0,0,0,2,80,-,77.388
Basketball,2022,159,UTSA,0,0,0,2,80,$7.7K,77.388
Basketball,2022,160,UTEP,0,0,0,2,80,-,77.388
Basketball,2022,161,Troy,0,0,0,2,80,-,77.388
Basketball,2022,162,The Citadel,0,0,0,2,80,-,77.388
Basketball,2022,163,Texas State,0,0,0,2,80,-,77.388
Basketball,2022,164,Charlotte,0,0,0,2,80,-,77.388
Basketball,2022,165,UNC Wilmington,0,0,0,2,80,-,77.388
Basketball,2022,166,Colorado State,0,0,0,2,80,-,77.388
Basketball,2022,167,Towson,0,0,1,2,79.75,-,77.138
Basketball,2022,168,Buffalo,0,0,1,1,83.8,$9.6K,77.111
Basketball,2022,169,Bowling Green,0,0,1,1,83.5,$9.5K,76.811
Basketball,2022,170,Southern Illinois,0,0,1,1,83.25,-,76.561
Basketball,2022,171,New Mexico State,0,0,1,1,83,$13.9K,76.311
Basketball,2022,172,Tulane,0,0,1,1,83,$11.5K,76.311
Basketball,2022,173,Wyoming,0,0,1,1,82.75,-,76.061
Basketball,2022,174,BYU,0,0,1,1,82.5,$9.3K,75.811
Basketball,2022,175,Tennessee State,0,0,1,1,82.5,$6.4K,75.811
Basketball,2022,176,Iona,0,0,1,1,82.25,-,75.561
Basketball,2022,177,San Diego,0,0,1,1,82,$62K,75.311
Basketball,2022,178,UNC Greensboro,0,0,1,1,81.25,$5K,74.561
Basketball,2022,179,Oral Roberts,0,0,1,1,81,$13.5K,74.311
Basketball,2022,180,Navy,0,0,1,1,80.75,-,74.061
Basketball,2022,181,Boston University,0,0,1,1,80.5,-,73.811
Basketball,2022,182,Albany,0,0,0,1,80,$7.4K,73.311
Basketball,2022,183,Akron,0,0,0,1,80,$56K,73.311
Basketball,2022,184,Bellarmine,0,0,0,1,80,-,73.311
Basketball,2022,185,Western Carolina,0,0,0,1,80,-,73.311
Basketball,2022,186,Youngstown State,0,0,0,1,80,-,73.311
Basketball,2022,187,Robert Morris,0,0,0,1,80,-,73.311
Basketball,2022,188,Pennsylvania,0,0,0,1,80,$7.1K,73.311
Basketball,2022,189,Idaho State,0,0,0,1,80,-,73.311
Basketball,2022,190,Idaho,0,0,0,1,80,-,73.311
Basketball,2022,191,High Point,0,0,0,1,80,-,73.311
Basketball,2022,192,Illinois State,0,0,0,1,80,-,73.311
Basketball,2022,193,James Madison,0,0,0,1,80,-,73.311
Basketball,2022,194,Richmond,0,0,0,1,80,$7.2K,73.311
Basketball,2022,195,Radford,0,0,0,1,80,-,73.311
Basketball,2022,196,Holy Cross,0,0,0,1,80,-,73.311
Basketball,2022,197,Hofstra,0,0,0,1,80,-,73.311
Basketball,2022,198,Pacific,0,0,0,1,80,-,73.311
Basketball,2022,199,Indiana State,0,0,0,1,80,$355K,73.311
Basketball,2022,200,Jacksonville,0,0,0,1,80,-,73.311
Basketball,2022,201,Rhode Island,0,0,0,1,80,-,73.311
Basketball,2022,202,North Texas,0,0,0,1,80,-,73.311
Basketball,2022,203,North Carolina Central,0,0,0,1,80,-,73.311
Basketball,2022,204,Northern Iowa,0,0,0,1,80,-,73.311
Basketball,2022,205,North Dakota,0,0,0,1,80,-,73.311
Basketball,2022,206,Northern Colorado,0,0,0,1,80,$13.5K,73.311
Basketball,2022,207,Kennesaw State,0,0,0,1,80,-,73.311
Basketball,2022,208,Loyola Marymount,0,0,0,1,80,-,73.311
Basketball,2022,209,Duquesne,0,0,0,1,80,-,73.311
Basketball,2022,210,Elon,0,0,0,1,80,-,73.311
Basketball,2022,211,Eastern Illinois,0,0,0,1,80,-,73.311
Basketball,2022,212,Cornell,0,0,0,1,80,-,73.311
Basketball,2022,213,Dartmouth,0,0,0,1,80,-,73.311
Basketball,2022,214,Samford,0,0,0,1,80,$11.9K,73.311
Basketball,2022,215,San Francisco,0,0,0,1,80,-,73.311
Basketball,2022,216,Stetson,0,0,0,1,80,-,73.311
Basketball,2022,217,South Dakota State,0,0,0,1,80,-,73.311
Basketball,2022,218,Monmouth,0,0,0,1,80,-,73.311
Basketball,2022,219,Siena,0,0,0,1,80,-,73.311
Basketball,2022,220,Georgia State,0,0,0,1,80,-,73.311
Basketball,2022,221,Georgia Southern,0,0,0,1,80,-,73.311
Basketball,2022,222,Grambling State,0,0,0,1,80,-,73.311
Basketball,2022,223,Grand Canyon,0,0,0,1,80,-,73.311
Basketball,2022,224,George Washington,0,0,0,1,80,-,73.311
Basketball,2022,225,Cal State Northridge,0,0,0,1,80,-,73.311
Basketball,2022,226,Cal State Fullerton,0,0,0,1,80,-,73.311
Basketball,2022,227,Wagner,0,0,0,1,80,-,73.311
Basketball,2022,228,Belmont,0,0,0,1,80,$114K,73.311
Basketball,2022,229,Valparaiso,0,0,0,1,80,-,73.311
Basketball,2022,230,UNLV,0,0,0,1,80,$459K,73.311
Basketball,2022,231,Weber State,0,0,0,1,80,-,73.311
Basketball,2022,232,Temple,0,0,0,1,80,-,73.311
Basketball,2022,233,UAB,0,0,0,1,80,$13.8K,73.311
Basketball,2022,234,Charleston Southern,0,0,0,1,80,-,73.311
Basketball,2022,235,UTRGV,0,0,0,1,80,-,73.311
Basketball,2022,236,UMBC,0,0,0,1,80,-,73.311
Basketball,2022,237,Toledo,0,0,0,1,80,$7.6K,73.311
Basketball,2022,238,UC Riverside,0,0,0,1,80,-,73.311
Basketball,2022,239,UC Davis,0,0,0,1,80,-,73.311
Basketball,2022,240,Colgate,0,0,0,1,80,-,73.311
Basketball,2022,241,Central Michigan,0,0,0,1,80,$33K,73.311
Basketball,2021,1,Kentucky,3,1,0,4,98.27,$23K,98.863
Basketball,2021,2,Duke,1,3,0,4,96.86,$12K,98.6
Basketball,2021,3,Gonzaga,2,2,0,4,97.71,$16.4K,98.511
Basketball,2021,4,Memphis,2,1,0,6,89.17,$18.2K,98.332
Basketball,2021,5,Michigan,2,4,0,6,94.32,$19.5K,97.883
Basketball,2021,6,Tennessee,1,3,0,7,89.68,$35K,97.592
Basketball,2021,7,UCLA,1,1,0,2,97.17,$20K,96.349
Basketball,2021,8,Michigan State,1,2,0,3,96.28,$19.1K,96.28
Basketball,2021,9,Baylor,1,2,0,3,95.99,$11.5K,95.986
Basketball,2021,10,Wisconsin-Milwaukee,1,0,0,1,99.37,-,95.598
Basketball,2021,11,Auburn,1,0,0,1,99.35,-,95.578
Basketball,2021,12,Connecticut,0,5,0,5,93.29,$130K,95.186
Basketball,2021,13,Alabama,1,2,0,3,95.12,$21K,95.122
Basketball,2021,14,Florida State,0,3,0,5,88.93,$13.6K,94.877
Basketball,2021,15,Creighton,0,5,0,5,93.03,$16K,94.796
Basketball,2021,16,Indiana,0,2,0,2,95.37,$10.4K,94.556
Basketball,2021,17,Kansas,0,3,0,4,90.32,$22K,93.762
Basketball,2021,18,LSU,0,3,0,5,88.04,$13.5K,93.402
Basketball,2021,19,Syracuse,0,1,0,1,97.07,$10.8K,93.297
Basketball,2021,20,Maryland,0,2,0,2,93.94,$18K,93.121
Basketball,2021,21,Texas,0,1,0,1,96.81,-,93.036
Basketball,2021,22,Iowa State,0,1,0,1,96.46,$21K,92.688
Basketball,2021,23,North Carolina,0,3,0,3,92.23,$16.9K,92.225
Basketball,2021,24,Stanford,0,2,0,4,88.09,$43K,90.793
Basketball,2021,25,Illinois,0,3,0,3,90.77,$21K,90.771
Basketball,2021,26,Marquette,0,3,0,5,86.38,$9.4K,90.635
Basketball,2021,27,Purdue,0,2,0,3,90.36,$16.6K,90.359
Basketball,2021,28,Nebraska,0,3,0,5,85.96,$15K,89.93
Basketball,2021,29,Ohio State,0,2,0,2,90.53,$23K,89.708
Basketball,2021,30,Villanova,0,2,0,3,89.45,$10.2K,89.454
Basketball,2021,31,Colorado,0,2,0,5,85.65,$11.2K,89.409
Basketball,2021,32,Louisville,0,2,0,4,86.89,$17K,89.18
Basketball,2021,33,NC State,0,2,0,3,89.17,$12.8K,89.171
Basketball,2021,34,Georgia Tech,0,2,0,3,89.05,$13.7K,89.052
Basketball,2021,35,Arkansas,0,1,0,1,92.14,$17.4K,88.366
Basketball,2021,36,Oregon,0,1,0,2,88.89,$16.6K,88.069
Basketball,2021,37,Miami,0,2,0,3,87.42,$12.5K,87.416
Basketball,2021,38,Wisconsin,0,4,0,4,87.07,$13.3K,87.354
Basketball,2021,39,Washington State,0,1,0,2,87.89,$14K,87.076
Basketball,2021,40,Georgetown,0,1,0,5,83.51,$13.6K,85.852
Basketball,2021,41,Arizona,0,1,0,2,86.62,$8.5K,85.802
Basketball,2021,42,Samford,0,1,0,1,89.52,$7.9K,85.752
Basketball,2021,43,Texas A&M,0,1,0,3,85.57,$24K,85.571
Basketball,2021,44,Florida,0,1,0,3,85.48,$42K,85.482
Basketball,2021,45,Notre Dame,0,1,0,2,86.13,$9.5K,85.31
Basketball,2021,46,Dayton,0,1,0,4,83.93,$15.3K,85.237
Basketball,2021,47,Western Kentucky,0,1,0,3,84.9,$52K,84.897
Basketball,2021,48,USC,0,1,0,3,84.58,$15.4K,84.576
Basketball,2021,49,Northwestern,0,2,0,3,84.53,$6.3K,84.527
Basketball,2021,50,Washington,0,1,0,3,84.52,$8.7K,84.522
Basketball,2021,51,Oklahoma,0,1,0,5,82.69,$16.9K,84.484
Basketball,2021,52,South Carolina,0,1,0,3,84.44,$14.5K,84.438
Basketball,2021,53,Arizona State,0,1,0,6,82.2,$12.3K,84.402
Basketball,2021,54,Houston,0,1,0,4,82.98,$117K,83.977
Basketball,2021,55,Virginia,0,1,0,2,84.76,$16.7K,83.943
Basketball,2021,56,Wake Forest,0,1,0,4,82.17,$11.8K,82.898
Basketball,2021,57,Pepperdine,0,2,0,3,82.83,$17.4K,82.832
Basketball,2021,58,Nevada,0,0,2,2,82.96,$7.9K,82.144
Basketball,2021,59,West Virginia,0,1,0,4,81.41,$6.1K,81.875
Basketball,2021,60,Mississippi State,0,1,0,3,81.7,$14.3K,81.7
Basketball,2021,61,Iowa,0,1,0,2,82.34,$17.4K,81.522
Basketball,2021,62,Wyoming,0,1,0,4,80.95,$8.5K,81.267
Basketball,2021,63,Oregon State,0,1,0,2,82.01,$15.4K,81.195
Basketball,2021,64,Santa Clara,0,0,1,5,80.52,$6.4K,80.867
Basketball,2021,65,Boise State,0,0,1,2,81.65,-,80.832
Basketball,2021,66,Old Dominion,0,0,1,3,80.62,-,80.617
Basketball,2021,67,Air Force,0,0,0,4,80,-,80
Basketball,2021,68,Richmond,0,0,0,4,80,$8K,80
Basketball,2021,69,Harvard,0,0,0,3,80,-,80
Basketball,2021,70,Princeton,0,0,0,3,80,-,80
Basketball,2021,71,Ole Miss,0,0,0,4,80,$19.2K,80
Basketball,2021,72,North Texas,0,0,0,5,80,$14.2K,80
Basketball,2021,73,North Dakota,0,0,0,3,80,-,80
Basketball,2021,74,La Salle,0,0,0,3,80,$41K,80
Basketball,2021,75,Louisiana Tech,0,0,0,3,80,-,80
Basketball,2021,76,Liberty,0,0,0,4,80,$7.3K,80
Basketball,2021,77,Duquesne,0,0,0,3,80,$17.4K,80
Basketball,2021,78,East Carolina,0,0,0,6,80,$11K,80
Basketball,2021,79,DePaul,0,0,0,4,80,$54K,80
Basketball,2021,80,San Diego,0,0,0,3,80,-,80
Basketball,2021,81,St. John's,0,0,0,3,80,$7.9K,80
Basketball,2021,82,Middle Tennessee State,0,0,0,4,80,$7.4K,80
Basketball,2021,83,Marshall,0,0,0,4,80,-,80
Basketball,2021,84,SMU,0,0,0,4,80,$462K,80
Basketball,2021,85,New Mexico,0,0,0,3,80,-,80
Basketball,2021,86,Seton Hall,0,0,0,3,80,$12.8K,80
Basketball,2021,87,Missouri,0,0,0,5,80,$18.9K,80
Basketball,2021,88,Georgia State,0,0,0,4,80,$14.2K,80
Basketball,2021,89,Georgia Southern,0,0,0,4,80,-,80
Basketball,2021,90,Georgia,0,0,0,5,80,$12.4K,80
Basketball,2021,91,George Mason,0,0,0,4,80,-,80
Basketball,2021,92,UTSA,0,0,0,5,80,$9.3K,80
Basketball,2021,93,VCU,0,0,0,3,80,$16.4K,80
Basketball,2021,94,California,0,0,0,3,80,-,80
Basketball,2021,95,Buffalo,0,0,0,3,80,$11K,80
Basketball,2021,96,Vanderbilt,0,0,0,3,80,$8.3K,80
Basketball,2021,97,Butler,0,0,0,4,80,$8.3K,80
Basketball,2021,98,Valparaiso,0,0,0,3,80,-,80
Basketball,2021,99,BYU,0,0,0,3,80,$12.9K,80
Basketball,2021,100,Clemson,0,0,0,3,80,$18.4K,80
Basketball,2021,101,Tulsa,0,0,0,3,80,-,80
Basketball,2021,102,UCF,0,0,0,3,80,-,80
Basketball,2021,103,Appalachian State,0,0,0,2,80,-,79.182
Basketball,2021,104,Wichita State,0,0,0,2,80,-,79.182
Basketball,2021,105,Xavier,0,0,0,2,80,$7.5K,79.182
Basketball,2021,106,William & Mary,0,0,0,2,80,-,79.182
Basketball,2021,107,Yale,0,0,0,2,80,-,79.182
Basketball,2021,108,Pittsburgh,0,0,0,2,80,$8.5K,79.182
Basketball,2021,109,Rice,0,0,0,2,80,-,79.182
Basketball,2021,110,Kansas State,0,0,0,2,80,$12.1K,79.182
Basketball,2021,111,Portland,0,0,0,2,80,-,79.182
Basketball,2021,112,Providence,0,0,0,2,80,$119K,79.182
Basketball,2021,113,North Carolina A&T,0,0,0,2,80,-,79.182
Basketball,2021,114,Northern Iowa,0,0,0,2,80,-,79.182
Basketball,2021,115,Louisiana,0,0,0,2,80,$9.1K,79.182
Basketball,2021,116,Loyola Marymount,0,0,0,2,80,-,79.182
Basketball,2021,117,McNeese State,0,0,0,2,80,-,79.182
Basketball,2021,118,Minnesota,0,0,0,2,80,$15.6K,79.182
Basketball,2021,119,South Alabama,0,0,0,2,80,$12.3K,79.182
Basketball,2021,120,Florida Atlantic,0,0,0,2,80,$10.3K,79.182
Basketball,2021,121,George Washington,0,0,0,2,80,$9.2K,79.182
Basketball,2021,122,Virginia Tech,0,0,0,2,80,$11.8K,79.182
Basketball,2021,123,Boston College,0,0,0,2,80,$9.1K,79.182
Basketball,2021,124,Belmont,0,0,0,2,80,-,79.182
Basketball,2021,125,Temple,0,0,0,2,80,$9K,79.182
Basketball,2021,126,Charlotte,0,0,0,2,80,-,79.182
Basketball,2021,127,UNC Wilmington,0,0,0,2,80,$20K,79.182
Basketball,2021,128,UC Santa Barbara,0,0,0,2,80,-,79.182
Basketball,2021,129,Tennessee State,0,0,0,2,80,$99K,79.182
Basketball,2021,130,Colorado State,0,0,0,2,80,-,79.182
Basketball,2021,131,UNLV,0,0,1,1,82.9,$24K,79.13
Basketball,2021,132,Albany,0,0,0,1,80,-,76.23
Basketball,2021,133,Akron,0,0,0,1,80,-,76.23
Basketball,2021,134,Army,0,0,0,1,80,-,76.23
Basketball,2021,135,Bellarmine,0,0,0,1,80,-,76.23
Basketball,2021,136,Austin Peay,0,0,0,1,80,-,76.23
Basketball,2021,137,Arkansas-Little Rock,0,0,0,1,80,-,76.23
Basketball,2021,138,Ball State,0,0,0,1,80,-,76.23
Basketball,2021,139,Wisconsin-Green Bay,0,0,0,1,80,-,76.23
Basketball,2021,140,Western Carolina,0,0,0,1,80,$8K,76.23
Basketball,2021,141,Youngstown State,0,0,0,1,80,-,76.23
Basketball,2021,142,Wright State,0,0,0,1,80,-,76.23
Basketball,2021,143,Western Michigan,0,0,0,1,80,-,76.23
Basketball,2021,144,Penn State,0,0,0,1,80,-,76.23
Basketball,2021,145,UIC,0,0,0,1,80,$17.1K,76.23
Basketball,2021,146,James Madison,0,0,0,1,80,-,76.23
Basketball,2021,147,Rutgers,0,0,0,1,80,-,76.23
Basketball,2021,148,Iona,0,0,0,1,80,-,76.23
Basketball,2021,149,Hofstra,0,0,0,1,80,-,76.23
