Combined Football & Basketball Recruiting Rankings (2021-2026),,,,,,,,,,
Rank,Team,Sport,Year,5-Star,4-Star,3-Star,Total Commits,Avg Rating,Avg NIL,Score
33,Stanford,Basketball,2023,0,2,0,3,90.89,$329K,90.89
34,Florida State,Basketball,2023,0,1,0,1,94.32,$19K,90.548
35,Illinois,Basketball,2023,0,2,1,3,90.24,$19.4K,90.239
36,Purdue,Basketball,2023,0,1,0,1,93.94,$9.4K,90.174
37,New Mexico,Basketball,2023,0,0,2,2,90.94,$1.4M,90.126
38,Notre Dame,Basketball,2023,0,1,3,4,89,$12.3K,90.03
39,Iowa,Basketball,2023,0,1,3,4,88.98,$136K,89.892
40,Wisconsin,Basketball,2023,0,2,1,3,89.5,$33K,89.503
41,LSU,Basketball,2023,0,1,1,2,89.9,$11.7K,89.083
42,Texas,Basketball,2023,0,1,1,2,89.79,$7.9K,88.972
43,Georgetown,Basketball,2023,0,1,1,2,89.71,$8.6K,88.891
44,Wake Forest,Basketball,2023,0,1,2,3,88.83,$10.3K,88.834
45,NC State,Basketball,2023,0,1,0,1,92.55,$10.8K,88.777
46,St. John's,Basketball,2023,0,1,1,3,88.5,$30K,88.497
47,Washington,Basketball,2023,0,1,1,2,89.13,$25K,88.311
48,Auburn,Basketball,2023,0,1,0,2,88.89,$247K,88.075
49,Providence,Basketball,2023,0,1,1,4,86.02,$8.4K,88.023
50,Ole Miss,Basketball,2023,0,1,2,3,87.86,$9.6K,87.856
51,Michigan,Basketball,2023,0,1,0,1,91.29,$14.5K,87.524
52,UNLV,Basketball,2023,0,1,1,4,85.6,$10.2K,87.468
53,Mississippi State,Basketball,2023,0,2,2,5,84.85,$45K,87.161
54,Gonzaga,Basketball,2023,0,1,0,2,87.82,$71K,86.998
55,Vanderbilt,Basketball,2023,0,0,5,5,86.32,$13.6K,86.78
56,Texas A&M,Basketball,2023,0,0,3,3,86.65,$368K,86.646
57,Rice,Basketball,2023,0,0,2,2,87.4,$11.7K,86.579
58,Miami,Basketball,2023,0,1,1,2,87.37,$15.8K,86.551
59,Arizona State,Basketball,2023,0,0,2,3,86.4,$12.5K,86.396
60,Rutgers,Basketball,2023,0,1,1,3,86.39,$11.5K,86.395
61,Virginia Tech,Basketball,2023,0,0,2,2,86.96,$13.1K,86.146
62,Seton Hall,Basketball,2023,0,1,1,2,86.73,$15.9K,85.916
63,South Carolina,Basketball,2023,0,1,1,3,85.74,$12.1K,85.743
64,Washington State,Basketball,2023,0,0,3,4,84.28,$254K,85.707
65,TCU,Basketball,2023,0,1,1,3,85.7,$11.9K,85.696
66,Nevada,Basketball,2023,0,0,2,3,85.45,$9.2K,85.454
67,Boston College,Basketball,2023,0,0,4,4,84.52,$7K,85.357
68,Cal State Northridge,Basketball,2023,0,0,1,1,89.07,$12.2K,85.298
69,Minnesota,Basketball,2023,0,1,0,2,85.75,-,84.931
70,Missouri State,Basketball,2023,0,0,1,1,88.58,$9.8K,84.813
71,Charleston,Basketball,2023,0,0,2,2,85.44,$6.8K,84.624
72,Dayton,Basketball,2023,0,0,3,3,84.6,$19.1K,84.605
73,Arizona,Basketball,2023,0,1,0,4,83.38,$14.5K,84.509
74,Saint Mary's,Basketball,2023,0,0,1,2,85.3,$6.7K,84.485
75,California,Basketball,2023,0,0,2,3,84.42,-,84.418
76,Butler,Basketball,2023,0,0,2,3,84.34,$8.2K,84.335
77,San Diego,Basketball,2023,0,0,2,2,85.03,$8.3K,84.215
78,Northwestern,Basketball,2023,0,0,3,3,84.08,$11.3K,84.083
79,Saint Joseph's,Basketball,2023,0,0,3,3,84.05,$8.5K,84.05
80,DePaul,Basketball,2023,0,0,2,4,82.99,$7.9K,83.99
81,Texas Tech,Basketball,2023,0,0,1,2,84.79,$14K,83.974
82,Massachusetts,Basketball,2023,0,0,3,6,81.9,$21K,83.808
83,Georgia Tech,Basketball,2023,0,0,1,1,87.55,-,83.783
84,North Carolina A&T,Basketball,2023,0,0,1,1,87.55,$10.7K,83.78
85,Florida Gulf Coast,Basketball,2023,0,0,1,1,87.44,-,83.671
86,Florida,Basketball,2023,0,0,2,3,83.63,$1.1M,83.633
87,Tulsa,Basketball,2023,0,0,2,3,83.57,$7.4K,83.567
88,USF,Basketball,2023,0,0,1,2,84.22,$6.4K,83.401
89,Loyola Marymount,Basketball,2023,0,0,1,1,87.09,-,83.317
90,George Washington,Basketball,2023,0,0,3,3,83.26,$8.3K,83.258
91,George Mason,Basketball,2023,0,0,2,2,83.88,-,83.057
92,Creighton,Basketball,2023,0,0,3,3,82.67,-,82.667
93,Clemson,Basketball,2023,0,0,1,1,86.17,$5.9K,82.405
94,Richmond,Basketball,2023,0,0,2,2,83.14,-,82.319
95,Loyola Chicago,Basketball,2023,0,0,1,2,83.01,-,82.194
96,San Diego State,Basketball,2023,0,0,1,3,82.14,$9.8K,82.139
97,Boise State,Basketball,2023,0,0,1,3,82.12,$14.1K,82.117
98,Toledo,Basketball,2023,0,0,1,3,82,$7.9K,82
99,Pepperdine,Basketball,2023,0,0,1,3,82,$7.2K,81.998
100,Murray State,Basketball,2023,0,0,1,2,82.76,$10K,81.944
101,Cal State Fullerton,Basketball,2023,0,0,1,1,85.42,$8.1K,81.655
102,UCF,Basketball,2023,0,0,1,1,85.3,-,81.53
103,Georgia State,Basketball,2023,0,0,1,2,82.15,-,81.332
104,Arkansas-Little Rock,Basketball,2023,0,0,1,2,82,$12.6K,81.182
105,East Carolina,Basketball,2023,0,0,1,3,81.17,$10.9K,81.175
106,Fordham,Basketball,2023,0,0,1,2,81.89,$8K,81.069
107,Old Dominion,Basketball,2023,0,0,1,2,81.88,$678K,81.057
108,Nebraska,Basketball,2023,0,0,1,2,81.88,$14.6K,81.057
109,Georgia Southern,Basketball,2023,0,0,1,4,80.75,-,81
110,Oregon State,Basketball,2023,0,0,1,2,81.75,-,80.932
111,Princeton,Basketball,2023,0,0,1,3,80.83,-,80.833
112,South Alabama,Basketball,2023,0,0,1,3,80.83,$5.9K,80.833
113,Wyoming,Basketball,2023,0,0,1,2,81.63,$7.4K,80.807
114,North Texas,Basketball,2023,0,0,1,2,81.63,$15.3K,80.807
115,Santa Clara,Basketball,2023,0,0,1,2,81.63,$8.8K,80.807
116,Saint Louis,Basketball,2023,0,0,1,2,81.63,-,80.807
117,Northwestern State,Basketball,2023,0,0,1,1,84.58,-,80.805
118,Evansville,Basketball,2023,0,0,1,1,84.55,-,80.78
119,Texas State,Basketball,2023,0,0,1,3,80.75,$8.4K,80.75
120,Ball State,Basketball,2023,0,0,1,2,81.51,-,80.694
121,Rhode Island,Basketball,2023,0,0,1,2,81.5,-,80.682
122,Davidson,Basketball,2023,0,0,1,1,84,$5.8K,80.23
123,Appalachian State,Basketball,2023,0,0,0,3,80,-,80
124,Air Force,Basketball,2023,0,0,0,4,80,-,80
125,Portland,Basketball,2023,0,0,0,3,80,-,80
126,McNeese State,Basketball,2023,0,0,0,3,80,-,80
127,Miami (OH),Basketball,2023,0,0,0,5,80,$7.5K,80
128,San Jose State,Basketball,2023,0,0,0,4,80,-,80
129,Belmont,Basketball,2023,0,0,0,3,80,-,80
130,Utah State,Basketball,2023,0,0,0,3,80,-,80
131,UAB,Basketball,2023,0,0,0,5,80,$1M,80
132,Troy,Basketball,2023,0,0,0,3,80,-,80
133,Fairfield,Basketball,2023,0,0,1,1,83.67,-,79.905
134,Yale,Basketball,2023,0,0,1,1,83.25,$1.9M,79.48
135,Samford,Basketball,2023,0,0,1,1,83.17,-,79.405
136,Southern Illinois,Basketball,2023,0,0,1,1,83,$7.9K,79.23
137,James Madison,Basketball,2023,0,0,0,2,80,$14.8K,79.182
138,Kent State,Basketball,2023,0,0,0,2,80,$8.7K,79.182
139,Florida Atlantic,Basketball,2023,0,0,0,2,80,-,79.182
140,UTSA,Basketball,2023,0,0,0,2,80,-,79.182
141,UTEP,Basketball,2023,0,0,0,2,80,-,79.182
142,Cal Baptist,Basketball,2023,0,0,0,2,80,-,79.182
143,Utah,Basketball,2023,0,0,0,2,80,-,79.182
144,Colorado State,Basketball,2023,0,0,0,2,80,-,79.182
145,Temple,Basketball,2023,0,0,1,1,82.25,-,78.48
146,Tulane,Basketball,2023,0,0,1,1,82.25,$7.6K,78.48
147,Liberty,Basketball,2023,0,0,1,1,81.75,$8.1K,77.98
148,Villanova,Basketball,2023,0,0,1,1,81.5,-,77.73
149,Syracuse,Basketball,2023,0,0,1,1,81.25,-,77.48
150,Mount St. Mary's,Basketball,2023,0,0,1,1,81.25,-,77.48
151,Prairie View A&M,Basketball,2023,0,0,1,1,81,-,77.23
152,Abilene Christian,Basketball,2023,0,0,0,1,80,-,76.23
153,Akron,Basketball,2023,0,0,0,1,80,-,76.23
154,Army,Basketball,2023,0,0,0,1,80,-,76.23
155,Arkansas State,Basketball,2023,0,0,0,1,80,-,76.23
156,Wofford,Basketball,2023,0,0,0,1,80,-,76.23
157,Wisconsin-Green Bay,Basketball,2023,0,0,0,1,80,-,76.23
158,Wichita State,Basketball,2023,0,0,0,1,80,-,76.23
159,Western Michigan,Basketball,2023,0,0,0,1,80,-,76.23
160,Western Kentucky,Basketball,2023,0,0,0,1,80,-,76.23
161,West Virginia,Basketball,2023,0,0,0,1,80,-,76.23
162,Pennsylvania,Basketball,2023,0,0,0,1,80,$7.5K,76.23
163,Penn State,Basketball,2023,0,0,0,1,80,-,76.23
164,Incarnate Word,Basketball,2023,0,0,0,1,80,-,76.23
165,Idaho State,Basketball,2023,0,0,0,1,80,-,76.23
166,Illinois State,Basketball,2023,0,0,0,1,80,-,76.23
167,Holy Cross,Basketball,2023,0,0,0,1,80,-,76.23
168,Harvard,Basketball,2023,0,0,0,1,80,$12.9K,76.23
169,Quinnipiac,Basketball,2023,0,0,0,1,80,-,76.23
170,Ohio,Basketball,2023,0,0,0,1,80,-,76.23
171,Oral Roberts,Basketball,2023,0,0,0,1,80,-,76.23
172,North Florida,Basketball,2023,0,0,0,1,80,-,76.23
173,Kennesaw State,Basketball,2023,0,0,0,1,80,$12.3K,76.23
174,Louisiana-Monroe,Basketball,2023,0,0,0,1,80,-,76.23
175,Louisiana Tech,Basketball,2023,0,0,0,1,80,-,76.23
176,Longwood,Basketball,2023,0,0,0,1,80,-,76.23
177,Lipscomb,Basketball,2023,0,0,0,1,80,-,76.23
178,Cornell,Basketball,2023,0,0,0,1,80,-,76.23
179,Utah Tech,Basketball,2023,0,0,0,1,80,-,76.23
180,Mercer,Basketball,2023,0,0,0,1,80,-,76.23
181,Sam Houston State,Basketball,2023,0,0,0,1,80,-,76.23
182,Saint Peter's,Basketball,2023,0,0,0,1,80,$10.6K,76.23
183,San Francisco,Basketball,2023,0,0,0,1,80,-,76.23
184,St. Bonaventure,Basketball,2023,0,0,0,1,80,-,76.23
185,Middle Tennessee State,Basketball,2023,0,0,0,1,80,-,76.23
186,Marshall,Basketball,2023,0,0,0,1,80,-,76.23
187,New Orleans,Basketball,2023,0,0,0,1,80,-,76.23
188,Southeastern Louisiana,Basketball,2023,0,0,0,1,80,-,76.23
189,South Dakota,Basketball,2023,0,0,0,1,80,-,76.23
190,Nebraska-Omaha,Basketball,2023,0,0,0,1,80,-,76.23
191,Siena,Basketball,2023,0,0,0,1,80,-,76.23
192,Niagara,Basketball,2023,0,0,0,1,80,-,76.23
193,Morehead State,Basketball,2023,0,0,0,1,80,-,76.23
194,Furman,Basketball,2023,0,0,0,1,80,-,76.23
195,Gardner-Webb,Basketball,2023,0,0,0,1,80,-,76.23
196,Fresno State,Basketball,2023,0,0,0,1,80,-,76.23
197,Grand Canyon,Basketball,2023,0,0,0,1,80,$10.3K,76.23
198,UT Arlington,Basketball,2023,0,0,0,1,80,-,76.23
199,Bradley,Basketball,2023,0,0,0,1,80,-,76.23
200,Cal Poly,Basketball,2023,0,0,0,1,80,-,76.23
201,Buffalo,Basketball,2023,0,0,0,1,80,-,76.23
202,Brown,Basketball,2023,0,0,0,1,80,-,76.23
203,East Texas A&M,Basketball,2023,0,0,0,1,80,-,76.23
204,UTRGV,Basketball,2023,0,0,0,1,80,-,76.23
205,Charlotte,Basketball,2023,0,0,0,1,80,-,76.23
206,UC Riverside,Basketball,2023,0,0,0,1,80,-,76.23
1,Duke,Basketball,2022,3,3,1,7,96.6,$94K,99.039
2,Kentucky,Basketball,2022,2,2,1,5,95.84,$21K,97.894
3,Arkansas,Basketball,2022,2,2,2,6,95.02,$15.6K,97.299
4,Kansas,Basketball,2022,1,3,0,4,97.09,$222K,97.085
5,Alabama,Basketball,2022,1,4,0,6,92.92,$217K,96.397
6,Villanova,Basketball,2022,1,2,0,3,96.02,-,95.42
7,Tennessee,Basketball,2022,1,3,1,5,92.42,$27K,95.211
8,USC,Basketball,2022,0,3,1,4,94.84,$15.5K,94.84
9,Ohio State,Basketball,2022,0,4,1,5,92.15,$182K,94.74
10,Michigan,Basketball,2022,0,4,0,5,91.71,$125K,94.633
11,Auburn,Basketball,2022,0,3,0,3,95.15,$16.1K,94.556
12,Illinois,Basketball,2022,0,4,0,5,91.54,$41K,94.424
13,Virginia,Basketball,2022,0,4,0,4,94.12,$15.2K,94.119
14,North Carolina,Basketball,2022,0,3,0,3,94.56,$23K,93.965
15,Notre Dame,Basketball,2022,1,2,0,3,94.53,$11.6K,93.935
16,Indiana,Basketball,2022,0,3,1,4,93.79,$47K,93.791
17,Texas,Basketball,2022,2,1,1,4,93.67,$27K,93.67
18,UCLA,Basketball,2022,2,1,0,4,93.1,$25K,93.101
19,Syracuse,Basketball,2022,0,3,3,6,89.57,$145K,92.791
20,Houston,Basketball,2022,1,1,1,3,92.68,$10K,92.084
21,Baylor,Basketball,2022,1,0,1,2,94.58,-,91.97
22,Xavier,Basketball,2022,0,2,0,2,94.21,$13.6K,91.596
23,Texas Tech,Basketball,2022,0,3,1,4,91.51,$25K,91.509
24,LSU,Basketball,2022,0,3,1,4,90.97,$36K,90.972
25,Vanderbilt,Basketball,2022,0,3,2,5,89.38,$16.2K,90.498
26,Ole Miss,Basketball,2022,0,2,2,4,90.43,$14K,90.428
27,Florida State,Basketball,2022,0,2,4,6,88.02,$27K,90.206
28,Virginia Tech,Basketball,2022,0,1,3,4,89.5,$129K,89.502
29,Florida,Basketball,2022,0,1,1,2,91.98,$806K,89.37
30,Miami,Basketball,2022,0,2,2,4,89.36,$12K,89.357
31,Cincinnati,Basketball,2022,0,1,2,3,89.54,$20K,88.938
32,VCU,Basketball,2022,0,2,0,2,91.4,$9.2K,88.784
33,Michigan State,Basketball,2022,0,2,0,3,89.36,$58K,88.763
34,Stanford,Basketball,2022,0,2,0,2,91.28,$10.9K,88.665
35,Penn State,Basketball,2022,0,1,4,5,87.47,$13.1K,88.514
36,South Carolina,Basketball,2022,1,0,2,3,89,$16.3K,88.404
37,Creighton,Basketball,2022,0,0,3,3,88.55,$9.4K,87.951
38,Arizona,Basketball,2022,0,2,0,4,87.58,$153K,87.584
39,Boston College,Basketball,2022,0,2,2,4,87.54,$11.3K,87.544
40,Iowa State,Basketball,2022,0,0,3,3,87.9,$197K,87.301
41,NC State,Basketball,2022,0,1,1,3,87.81,$11.6K,87.214
42,Louisville,Basketball,2022,0,2,1,4,87.18,$18.9K,87.178
43,Wake Forest,Basketball,2022,0,0,2,2,89.67,$8.7K,87.059
44,Purdue,Basketball,2022,0,1,2,4,87.05,$446K,87.047
45,Dayton,Basketball,2022,0,1,0,1,93.67,$120K,86.976
46,Pittsburgh,Basketball,2022,0,1,2,4,86.79,$74K,86.79
47,Oklahoma,Basketball,2022,0,2,0,4,86.78,$63K,86.781
48,Washington,Basketball,2022,0,1,2,3,86.81,$23K,86.216
49,Providence,Basketball,2022,0,1,1,2,88.72,$14.5K,86.107
50,Arizona State,Basketball,2022,0,1,1,3,86.52,$12.7K,85.92
51,Oregon,Basketball,2022,1,0,0,3,86.4,$31K,85.8
52,Georgetown,Basketball,2022,0,1,1,2,88.18,$10.3K,85.572
53,St. John's,Basketball,2022,0,1,1,2,88.15,$18K,85.537
54,Fresno State,Basketball,2022,0,1,0,1,92.05,$13.7K,85.357
55,Clemson,Basketball,2022,0,0,4,4,85.31,$42K,85.313
56,Iowa,Basketball,2022,0,0,2,2,87.9,$174K,85.284
57,Georgia,Basketball,2022,0,1,0,1,91.74,-,85.046
58,Seton Hall,Basketball,2022,0,0,3,4,85,$13.7K,84.999
59,UCF,Basketball,2022,0,1,0,2,87.55,$8.9K,84.935
60,Missouri,Basketball,2022,0,1,0,2,87.39,$10.8K,84.774
61,Marquette,Basketball,2022,0,0,2,3,85.18,$27K,84.582
62,Minnesota,Basketball,2022,0,0,4,5,83.59,$9.7K,84.489
63,Nebraska,Basketball,2022,0,1,2,4,84.44,$12.1K,84.437
64,DePaul,Basketball,2022,0,1,0,3,84.6,$12.9K,84.003
65,Connecticut,Basketball,2022,0,1,0,4,83.92,$10.3K,83.917
66,San Diego State,Basketball,2022,0,0,2,3,84.42,$10.7K,83.818
67,George Mason,Basketball,2022,0,0,3,3,84.17,-,83.569
68,Washington State,Basketball,2022,0,1,0,5,82.76,$15K,83.446
69,Utah,Basketball,2022,0,0,2,3,83.93,$5.7K,83.331
70,Saint Mary's,Basketball,2022,0,1,0,3,83.66,$16.4K,83.06
71,Colorado,Basketball,2022,0,0,1,3,83.4,$10.4K,82.803
72,Nevada,Basketball,2022,0,0,1,3,83.36,$16.3K,82.765
73,Oregon State,Basketball,2022,0,0,3,6,81.76,$25K,82.638
74,TCU,Basketball,2022,0,0,1,1,89.26,$1.2M,82.569
75,Boise State,Basketball,2022,0,0,1,2,85.13,$12K,82.513
76,West Virginia,Basketball,2022,0,0,1,5,81.95,$13.9K,82.44
77,Tulsa,Basketball,2022,0,0,3,3,82.92,-,82.328
78,Rutgers,Basketball,2022,0,0,3,3,82.84,-,82.244
79,Ohio,Basketball,2022,0,0,2,4,82.21,$10.7K,82.213
80,Pepperdine,Basketball,2022,0,0,1,5,81.74,$7.6K,82.173
81,Oklahoma State,Basketball,2022,0,0,1,1,88.7,$12.4K,82.011
82,Columbia,Basketball,2022,0,0,2,3,82.5,$801K,81.903
83,Mississippi State,Basketball,2022,0,0,1,2,84.48,$7.3K,81.867
84,Gonzaga,Basketball,2022,0,0,1,2,84.47,-,81.859
85,Texas A&M,Basketball,2022,0,0,1,3,82.31,$19.3K,81.711
86,Appalachian State,Basketball,2022,0,0,1,3,82.12,$13.6K,81.519
87,Kansas State,Basketball,2022,0,0,2,3,82,$11.8K,81.403
88,Fordham,Basketball,2022,0,0,2,3,82,$17.6K,81.403
89,East Carolina,Basketball,2022,0,0,1,5,81.06,$12.1K,81.323
90,Northeastern,Basketball,2022,0,0,1,3,81.83,$726K,81.236
91,Eastern Kentucky,Basketball,2022,0,0,1,3,81.78,$10.9K,81.186
92,St. Bonaventure,Basketball,2022,0,0,1,2,83.79,$7.6K,81.176
93,Rice,Basketball,2022,0,0,1,4,81.13,$7.1K,81.125
94,Harvard,Basketball,2022,0,0,1,2,83.66,-,81.052
95,Saint Joseph's,Basketball,2022,0,0,2,2,83.5,$14.4K,80.888
96,Louisiana,Basketball,2022,0,0,1,4,80.75,$7.4K,80.75
97,Maryland,Basketball,2022,0,0,1,2,83.25,$14.5K,80.638
98,Saint Louis,Basketball,2022,0,0,1,5,80.4,-,80.5
99,Northwestern,Basketball,2022,0,0,1,2,82.9,$66K,80.288
100,UT Arlington,Basketball,2022,0,0,1,4,80.19,$5.3K,80.188
101,Alabama State,Basketball,2022,0,0,1,1,86.85,$12.8K,80.161
102,North Carolina A&T,Basketball,2022,0,0,1,3,80.75,-,80.153
103,Princeton,Basketball,2022,0,0,0,4,80,$830K,80
104,Old Dominion,Basketball,2022,0,0,0,4,80,-,80
105,Mercer,Basketball,2022,0,0,0,4,80,-,80
106,San Jose State,Basketball,2022,0,0,0,4,80,-,80
107,FIU,Basketball,2022,0,0,0,4,80,$14.1K,80
108,Massachusetts,Basketball,2022,0,0,1,2,82.21,$10.3K,79.598
109,California,Basketball,2022,0,0,1,2,82.13,$10K,79.513
110,NJIT,Basketball,2022,0,0,1,1,86.14,$6.7K,79.45
111,Air Force,Basketball,2022,0,0,0,3,80,$7.6K,79.403
112,Louisiana Tech,Basketball,2022,0,0,0,3,80,-,79.403
113,Liberty,Basketball,2022,0,0,0,3,80,$6.4K,79.403
114,Miami (OH),Basketball,2022,0,0,0,3,80,-,79.403
115,Middle Tennessee State,Basketball,2022,0,0,0,3,80,-,79.403
116,New Mexico,Basketball,2022,0,0,0,3,80,$620K,79.403
117,VMI,Basketball,2022,0,0,0,3,80,$6.7K,79.403
118,Florida Atlantic,Basketball,2022,0,0,1,2,81.88,$9.9K,79.263
119,Lafayette,Basketball,2022,0,0,1,2,81.75,$8.3K,79.138
120,Marshall,Basketball,2022,0,0,2,2,81.75,$16.5K,79.138
121,UC Santa Barbara,Basketball,2022,0,0,1,1,85.8,-,79.111
122,St. Thomas,Basketball,2022,0,0,1,2,81.63,$10.4K,79.013
123,Northwestern State,Basketball,2022,0,0,1,2,81.5,$1.2M,78.888
124,Georgia Tech,Basketball,2022,0,0,1,2,81.42,$7.9K,78.813
125,Lamar,Basketball,2022,0,0,2,2,81.38,$8.5K,78.763
126,Western Michigan,Basketball,2022,0,0,1,2,81.13,$9.6K,78.513
127,Butler,Basketball,2022,0,0,1,1,85.17,-,78.486
128,Wisconsin,Basketball,2022,0,0,1,1,85.05,$59K,78.361
129,New Orleans,Basketball,2022,0,0,1,1,85.03,-,78.336
130,Northern Arizona,Basketball,2022,0,0,1,2,80.5,-,77.888
131,USF,Basketball,2022,0,0,1,2,80.5,$12.1K,77.888
132,Arkansas State,Basketball,2022,0,0,0,2,80,-,77.388
133,Wofford,Basketball,2022,0,0,0,2,80,$13.4K,77.388
134,Wisconsin-Milwaukee,Basketball,2022,0,0,0,2,80,-,77.388
135,Wright State,Basketball,2022,0,0,0,2,80,-,77.388
136,William & Mary,Basketball,2022,0,0,0,2,80,-,77.388
137,Yale,Basketball,2022,0,0,0,2,80,-,77.388
138,UIC,Basketball,2022,0,0,0,2,80,$13.6K,77.388
139,Hawaii,Basketball,2022,0,0,0,2,80,-,77.388
140,IUPUI,Basketball,2022,0,0,0,2,80,-,77.388
141,Purdue Fort Wayne,Basketball,2022,0,0,0,2,80,-,77.388
142,Northern Illinois,Basketball,2022,0,0,0,2,80,$13.3K,77.388
143,Lehigh,Basketball,2022,0,0,0,2,80,-,77.388
144,Loyola Maryland,Basketball,2022,0,0,0,2,80,-,77.388
145,Kent State,Basketball,2022,0,0,0,2,80,$9.8K,77.388
146,Loyola Chicago,Basketball,2022,0,0,0,2,80,-,77.388
147,Lipscomb,Basketball,2022,0,0,0,2,80,-,77.388
148,Davidson,Basketball,2022,0,0,0,2,80,$12.8K,77.388
149,Delaware,Basketball,2022,0,0,0,2,80,$9.9K,77.388
150,Santa Clara,Basketball,2022,0,0,0,2,80,$16.7K,77.388
151,North Alabama,Basketball,2022,0,0,0,2,80,-,77.388
152,South Alabama,Basketball,2022,0,0,0,2,80,-,77.388
153,Montana,Basketball,2022,0,0,0,2,80,-,77.388
154,Murray State,Basketball,2022,0,0,0,2,80,$8.1K,77.388
155,Missouri State,Basketball,2022,0,0,0,2,80,-,77.388
156,Furman,Basketball,2022,0,0,0,2,80,-,77.388
157,Fairfield,Basketball,2022,0,0,0,2,80,-,77.388
158,Bucknell,Basketball,2022,0,0,0,2,80,-,77.388
159,UTSA,Basketball,2022,0,0,0,2,80,$7.7K,77.388
160,UTEP,Basketball,2022,0,0,0,2,80,-,77.388
161,Troy,Basketball,2022,0,0,0,2,80,-,77.388
162,The Citadel,Basketball,2022,0,0,0,2,80,-,77.388
163,Texas State,Basketball,2022,0,0,0,2,80,-,77.388
164,Charlotte,Basketball,2022,0,0,0,2,80,-,77.388
165,UNC Wilmington,Basketball,2022,0,0,0,2,80,-,77.388
166,Colorado State,Basketball,2022,0,0,0,2,80,-,77.388
167,Towson,Basketball,2022,0,0,1,2,79.75,-,77.138
168,Buffalo,Basketball,2022,0,0,1,1,83.8,$9.6K,77.111
169,Bowling Green,Basketball,2022,0,0,1,1,83.5,$9.5K,76.811
170,Southern Illinois,Basketball,2022,0,0,1,1,83.25,-,76.561
171,New Mexico State,Basketball,2022,0,0,1,1,83,$13.9K,76.311
172,Tulane,Basketball,2022,0,0,1,1,83,$11.5K,76.311
173,Wyoming,Basketball,2022,0,0,1,1,82.75,-,76.061
174,BYU,Basketball,2022,0,0,1,1,82.5,$9.3K,75.811
175,Tennessee State,Basketball,2022,0,0,1,1,82.5,$6.4K,75.811
176,Iona,Basketball,2022,0,0,1,1,82.25,-,75.561
177,San Diego,Basketball,2022,0,0,1,1,82,$62K,75.311
178,UNC Greensboro,Basketball,2022,0,0,1,1,81.25,$5K,74.561
179,Oral Roberts,Basketball,2022,0,0,1,1,81,$13.5K,74.311
180,Navy,Basketball,2022,0,0,1,1,80.75,-,74.061
181,Boston University,Basketball,2022,0,0,1,1,80.5,-,73.811
182,Albany,Basketball,2022,0,0,0,1,80,$7.4K,73.311
183,Akron,Basketball,2022,0,0,0,1,80,$56K,73.311
184,Bellarmine,Basketball,2022,0,0,0,1,80,-,73.311
185,Western Carolina,Basketball,2022,0,0,0,1,80,-,73.311
186,Youngstown State,Basketball,2022,0,0,0,1,80,-,73.311
187,Robert Morris,Basketball,2022,0,0,0,1,80,-,73.311
188,Pennsylvania,Basketball,2022,0,0,0,1,80,$7.1K,73.311
189,Idaho State,Basketball,2022,0,0,0,1,80,-,73.311
190,Idaho,Basketball,2022,0,0,0,1,80,-,73.311
191,High Point,Basketball,2022,0,0,0,1,80,-,73.311
192,Illinois State,Basketball,2022,0,0,0,1,80,-,73.311
193,James Madison,Basketball,2022,0,0,0,1,80,-,73.311
194,Richmond,Basketball,2022,0,0,0,1,80,$7.2K,73.311
195,Radford,Basketball,2022,0,0,0,1,80,-,73.311
196,Holy Cross,Basketball,2022,0,0,0,1,80,-,73.311
197,Hofstra,Basketball,2022,0,0,0,1,80,-,73.311
198,Pacific,Basketball,2022,0,0,0,1,80,-,73.311
199,Indiana State,Basketball,2022,0,0,0,1,80,$355K,73.311
200,Jacksonville,Basketball,2022,0,0,0,1,80,-,73.311
201,Rhode Island,Basketball,2022,0,0,0,1,80,-,73.311
202,North Texas,Basketball,2022,0,0,0,1,80,-,73.311
203,North Carolina Central,Basketball,2022,0,0,0,1,80,-,73.311
204,Northern Iowa,Basketball,2022,0,0,0,1,80,-,73.311
205,North Dakota,Basketball,2022,0,0,0,1,80,-,73.311
206,Northern Colorado,Basketball,2022,0,0,0,1,80,$13.5K,73.311
207,Kennesaw State,Basketball,2022,0,0,0,1,80,-,73.311
208,Loyola Marymount,Basketball,2022,0,0,0,1,80,-,73.311
209,Duquesne,Basketball,2022,0,0,0,1,80,-,73.311
210,Elon,Basketball,2022,0,0,0,1,80,-,73.311
211,Eastern Illinois,Basketball,2022,0,0,0,1,80,-,73.311
212,Cornell,Basketball,2022,0,0,0,1,80,-,73.311
213,Dartmouth,Basketball,2022,0,0,0,1,80,-,73.311
214,Samford,Basketball,2022,0,0,0,1,80,$11.9K,73.311
215,San Francisco,Basketball,2022,0,0,0,1,80,-,73.311
216,Stetson,Basketball,2022,0,0,0,1,80,-,73.311
217,South Dakota State,Basketball,2022,0,0,0,1,80,-,73.311
218,Monmouth,Basketball,2022,0,0,0,1,80,-,73.311
219,Siena,Basketball,2022,0,0,0,1,80,-,73.311
220,Georgia State,Basketball,2022,0,0,0,1,80,-,73.311
221,Georgia Southern,Basketball,2022,0,0,0,1,80,-,73.311
222,Grambling State,Basketball,2022,0,0,0,1,80,-,73.311
223,Grand Canyon,Basketball,2022,0,0,0,1,80,-,73.311
224,George Washington,Basketball,2022,0,0,0,1,80,-,73.311
